referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Keith Peterson,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Thompson vs. Holland,2022-12-03,Orlando,Florida,USA,0.0,181.0,83.0,181.0,83.0,3.0,0.0,0.0,0.0,0:30
Herb Dean,3,F,M,Submission,Guillotine Choke After Drop to Ground,3,0:42,UFC 219: Cyborg vs. Holm,2017-12-30,Las Vegas,Nevada,USA,0.0,48.0,24.0,40.0,17.0,3.0,2.0,1.0,0.0,3:12
John McCarthy,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Albany,New York,USA,0.0,59.0,27.0,51.0,20.0,3.0,1.0,0.0,0.0,3:24
Leon Roberts,3,F,M,KO/TKO,Punches to Head In Clinch,2,4:40,UFC 204: Bisping vs. Henderson,2016-10-08,Manchester,England,United Kingdom,0.0,59.0,25.0,54.0,21.0,6.0,2.0,0.0,0.0,3:35
Jason Herzog,3,F,M,KO/TKO,Punch to Head At Distance,2,0:16,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Paris,Ile-de-France,France,3.0,110.0,81.0,67.0,42.0,1.0,1.0,0.0,0.0,3:17
Lukasz Bosacki,3,F,M,Decision,Split,3,5:00,UFC 286: Edwards vs. Usman 3,2023-03-18,London,England,United Kingdom,0.0,92.0,62.0,83.0,53.0,14.0,5.0,0.0,0.0,6:31
Dan Miragliotta,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Smith vs. Teixeira,2020-05-13,Jacksonville,Florida,USA,0.0,179.0,50.0,179.0,50.0,1.0,0.0,0.0,0.0,0:00
Thomas Fan,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,Busan,,South Korea,0.0,63.0,21.0,56.0,15.0,0.0,0.0,0.0,0.0,0:00
Jason Herzog,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Sandhagen vs. Font,2023-08-05,Nashville,Tennessee,USA,0.0,166.0,62.0,139.0,43.0,1.0,0.0,0.0,0.0,0:07
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,London,England,United Kingdom,0.0,141.0,78.0,105.0,43.0,3.0,0.0,0.0,0.0,2:17
Marc Goddard,3,F,M,Decision,Split,3,5:00,UFC 272: Covington vs. Masvidal,2022-03-05,Las Vegas,Nevada,USA,0.0,125.0,80.0,98.0,53.0,3.0,0.0,0.0,0.0,0:14
Lukasz Bosacki,3,F,M,KO/TKO,Punches to Head On Ground,2,4:44,UFC Fight Night: Gane vs. Spivac,2023-09-02,Paris,Ile-de-France,France,0.0,210.0,123.0,182.0,101.0,9.0,5.0,0.0,0.0,5:20
John Sharp,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen,Guangdong,China,1.0,191.0,73.0,188.0,71.0,5.0,0.0,0.0,0.0,1:16
Herb Dean,5,F,M,Submission,Rear Naked Choke,4,2:38,UFC Fight Night: Makhachev vs. Moises,2021-07-17,Las Vegas,Nevada,USA,0.0,194.0,148.0,92.0,61.0,6.0,3.0,1.0,1.0,8:11
Keith Peterson,3,F,M,Submission,Ankle Lock After Drop to Ground,2,0:25,UFC Fight Night: Smith vs. Teixeira,2020-05-13,Jacksonville,Florida,USA,0.0,61.0,28.0,60.0,27.0,0.0,0.0,0.0,0.0,0:21
Keith Peterson,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-10,Denver,Colorado,USA,0.0,161.0,113.0,68.0,44.0,8.0,4.0,2.0,0.0,13:32
Mark Smith,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,Las Vegas,Nevada,USA,0.0,205.0,50.0,205.0,50.0,0.0,0.0,0.0,0.0,0:00
Keith Peterson,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Hall vs. Silva,2020-10-31,Las Vegas,Nevada,USA,0.0,187.0,94.0,177.0,85.0,3.0,2.0,0.0,1.0,1:11
Marc Goddard,5,T,M,Decision,Unanimous,5,5:00,UFC 284: Makhachev vs. Volkanovski,2023-02-11,Perth,Western Australia,Australia,0.0,135.0,95.0,95.0,57.0,9.0,4.0,0.0,0.0,7:37
Greg Kleynjans,3,F,M,KO/TKO,Punches to Head On Ground,2,2:06,UFC Fight Night: Whittaker vs. Brunson,2016-11-26,Melbourne,Victoria,Australia,0.0,13.0,7.0,10.0,4.0,2.0,1.0,0.0,1.0,1:39
Herb Dean,5,T,M,Decision,Unanimous,5,5:00,UFC 112: Invincible,2010-04-10,Abu Dhabi,,United Arab Emirates,0.0,263.0,72.0,262.0,71.0,0.0,0.0,0.0,0.0,0:00
Adam Martinez,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Florian vs Lauzon,2008-04-02,Broomfield,Colorado,USA,0.0,74.0,27.0,65.0,19.0,10.0,9.0,0.0,0.0,6:18
Herb Dean,5,T,M,Decision,Split,5,5:00,UFC 150: Henderson vs Edgar II,2012-08-11,Denver,Colorado,USA,0.0,170.0,67.0,167.0,64.0,1.0,0.0,1.0,0.0,0:07
Blake Grice,5,T,M,Decision,Unanimous,5,5:00,UFC 236: Holloway vs. Poirier 2,2019-04-13,Atlanta,Georgia,USA,0.0,473.0,208.0,446.0,181.0,0.0,0.0,1.0,0.0,0:06
Herb Dean,5,T,M,Submission,Rear Naked Choke,3,1:02,UFC 269: Oliveira vs. Poirier,2021-12-11,Las Vegas,Nevada,USA,0.0,157.0,98.0,131.0,73.0,6.0,0.0,3.0,1.0,5:41
Marc Goddard,5,T,M,Submission,Rear Naked Choke,3,2:06,UFC 242: Khabib vs. Poirier,2019-09-07,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,77.0,54.0,41.0,22.0,8.0,7.0,2.0,0.0,8:52
Marc Goddard,5,F,M,KO/TKO,Punches to Head At Distance,2,4:05,UFC Fight Night: Alvarez vs. Poirier 2,2018-07-28,Calgary,Alberta,Canada,0.0,88.0,35.0,76.0,26.0,3.0,0.0,1.0,0.0,2:28
Keith Peterson,5,F,M,KO/TKO,"to    
      Injury",3,2:08,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Norfolk,Virginia,USA,0.0,119.0,71.0,100.0,53.0,6.0,5.0,0.0,0.0,6:51
Jason Herzog,3,F,M,KO/TKO,"to    
      Corner Stoppage",2,5:00,UFC 229: Khabib vs. McGregor,2018-10-06,Las Vegas,Nevada,USA,0.0,195.0,115.0,194.0,114.0,0.0,0.0,0.0,0.0,0:04
Herb Dean,3,F,M,Submission,Triangle Choke From Bottom Guard,2,0:52,UFC 226: Miocic vs. Cormier,2018-07-07,Las Vegas,Nevada,USA,0.0,35.0,19.0,26.0,12.0,6.0,2.0,0.0,0.0,2:38
